ar,utgafa,url
2025,Júlí (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2025/1894f161-511a-419f-a0d0-c1f4e8695144.pdf
2025,Mars (vor),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2025/dac984c0-ce1d-4556-9ee6-44921f43d386.pdf
2024,Nóvember (vetur/haust),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2024/729c29f7-be98-4bd0-8818-e8e42179355a.pdf
2024,Júní (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2024/283b6468-816a-462b-a986-56a455c5a8f5.pdf
2024,Apríl (vor-greining),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2024/d2637b51-be99-4fe4-8c14-202b1a8ecb18.pdf
2023,Nóvember (vetur/haust),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2023/2b8094b2-8797-486a-9267-226d261da20a.pdf
2023,Júní (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2023/5065ce7a-8270-4735-ae71-61b6e44c02fe.pdf
2022,Nóvember (vetur/haust),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2022/8ac96103-76b3-4c14-95aa-85b6c7da3b22.pdf
2022,Mars (vor),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2022/df976878-d830-437c-83df-bb8fd0dfc0bd.pdf
2021,Nóvember (vetur/haust),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2021/d3f51694-b980-408a-bd2d-3771152122d8.pdf
2021,Mars (vor),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2021/902e83dc-f3db-40ca-a1a3-f2d508ae8338.pdf
2020,Október (vetur/haust),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2020/b13bb771-70db-4b46-9b00-f5583f5fbeb5.pdf
2020,Júní (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2020/02e3aa34-493e-46e5-b80c-71e8038d3b6c.pdf
2019,Nóvember (vetur),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2019/e570a449-e72d-426d-a4b5-59b37c62dd0c.pdf
2019,Maí (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2019/0b5597fb-02ea-45af-82e8-2cac384863d2.pdf
2019,Febrúar (vetur – endurskoðun),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2019/60297c74-8146-4c3e-bf76-c69820f33fa9.pdf
2018,Nóvember (vetur),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/2018/20320e12-d490-4682-8bb8-6835457ca540.pdf
2018,Júní (sumar),https://www.hagstofa.is/media/51184/hag_180601.pdf
2017,Nóvember (vetur),https://www.hagstofa.is/media/50768/hag_171103.pdf
2017,Maí (sumar),https://www.hagstofa.is/media/50465/hag_170531.pdf
2017,Febrúar (vetur – endurskoðun),https://hagstofa.is/media/50301/hag_170217.pdf
2016,Nóvember (vetur),https://hagstofa.is/media/50141/hag_161104.pdf
2016,Maí (sumar),https://hagstofa.is/media/49851/hag_160527.pdf
2015,Nóvember (vetur),https://www.hagstofa.is/media/49254/hag_151113.pdf
2015,Apríl (vor),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/6210b1e3-cd70-4a7b-8bab-dc957243dc4c/pub_doc_8maDEx2.pdf
2014,Nóvember (vetur),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/6210b1e3-cd70-4a7b-8bab-dc957243dc4c/pub_doc_HTs1eii.pdf
2014,Apríl (vor),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/6210b1e3-cd70-4a7b-8bab-dc957243dc4c/pub_doc_BZtgIqi.pdf
2014,Júlí (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/6210b1e3-cd70-4a7b-8bab-dc957243dc4c/pub_doc_9go30zx.pdf
2013,Nóvember (vetur),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/6210b1e3-cd70-4a7b-8bab-dc957243dc4c/pub_doc_UclXW3o.pdf
2013,Júní (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/6210b1e3-cd70-4a7b-8bab-dc957243dc4c/pub_doc_seDvXHa.pdf
2013,Apríl (vor),https://hagstofa.is/media/43748/hag_130412b.pdf
2012,Nóvember (vetur),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/054fde13-26b9-4a3f-8b7b-5b352f736630/pub_doc_T1sRp1R.pdf
2012,Mars (vor),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/054fde13-26b9-4a3f-8b7b-5b352f736630/pub_doc_JanRxRe.pdf
2012,Júlí (sumar),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/054fde13-26b9-4a3f-8b7b-5b352f736630/pub_doc_xt52Quc.pdf
2011,Nóvember (vetur),https://hagstofa.is/media/43688/hag_111124.pdf
2011,Apríl (spá 2011–2016),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/5d8485c6-cc0f-4438-8f60-02a0f6e1211e/pub_doc_xXBFSbU.pdf
2010,Júní (spá 2010–2015),https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/5d8485c6-cc0f-4438-8f60-02a0f6e1211e/pub_doc_0xPWDqS.pdf
2009,Landsframleiðsla 2009,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/b529f792-e350-46e8-8baf-200dea66ac50/pub_doc_QyVQCLD.pdf
2008,Landsframleiðsla 2008,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/0acb20a5-fcc7-459b-8072-0fae7fb7af39/pub_doc_QpoLtkS.pdf.pdf
2007,Landsframleiðsla 2007,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/b3f10d58-06c3-469b-9230-425d6cc9ee29/pub_doc_STDK47x.pdf
2006,Landsframleiðsla 2006,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/b3f10d58-06c3-469b-9230-425d6cc9ee29/pub_doc_6VmwmaV.pdf
2005,Landsframleiðsla 2005,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/b3f10d58-06c3-469b-9230-425d6cc9ee29/pub_doc_anLtm3F.pdf
2004,Landsframleiðsla 2004,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/c4a9d8e5-cda8-4b84-b984-744cfd7ec82b/pub_doc_iSyqOua.pdf
2003,Landsframleiðsla 2003,https://hagstofas3bucket.hagstofa.is/hagstofan/media/public/c4a9d8e5-cda8-4b84-b984-744cfd7ec82b/pub_doc_EuFFNkF.pdf